State,Branch,Type,Party,Candidate,Win,Votes,Incumbent,Handle,Bio,Following,Followers
South Dakota,Senate,Primary,R,Bruce Whalen,0,15476,0,NO_HANDLE,None,0,0
Alaska,Senate,Primary,R,Buzz Kelley,1,4034,0,NO_HANDLE,None,0,0
Pennsylvania,Senate,Primary,R,Carla Sands,0,73360,0,CarlaHSands,"['Proud American | Vice Chair Center for Energy & Environment, America First Policy Institute | Mom | Woman of faith | Former US Ambassador to Denmark 🇺🇸']",881,52243
Missouri,Senate,Primary,D,Carla Wright,0,14391,0,NO_HANDLE,None,0,0
Illinois,Senate,Primary,R,Casey Chlebek,0,72864,0,NO_HANDLE,None,0,0
Nevada,Senate,General,D,Catherine Cortez Masto,1,481659,1,SenCortezMasto,['U.S. Senator from the great state of Nevada.'],927,73090
Nevada,Senate,Primary,D,Catherine Cortez Masto,1,105071,1,SenCortezMasto,['U.S. Senator from the great state of Nevada.'],927,73090
South Carolina,Senate,Primary,D,Catherine Fleming Bruce,1,59777,0,tnovsa,"['Author. 2022 Primary Runoff candidate, US Senate. SC 4 US House & Senate Dem Majorities 2022. Foreperson, SC longest State Grand Jury public corruption trial.']",5928,8805
Kentucky,Senate,General,D,Charles Booker,0,562928,0,Booker4KY,['Husband. Father. Son. Founder of @HoodtotheHoller . Former State Rep. First Black Kentuckian nominated for US Senate. The movement continues ✊🏽 (He/Him)'],2058,438353
Kentucky,Senate,General,D,Charles Booker,1,214245,0,Booker4KY,['Husband. Father. Son. Founder of @HoodtotheHoller . Former State Rep. First Black Kentuckian nominated for US Senate. The movement continues ✊🏽 (He/Him)'],2058,438353
North Carolina,Senate,General,D,Cheri Beasley,0,1753203,0,CheriBeasleyNC,"['Wife, mom, @AKASorority1908. First African-American woman to serve as Chief Justice of the NC Supreme Court. Candidate for US Senate.']",504,64689
North Carolina,Senate,Primary,D,Cheri Beasley,1,501766,0,CheriBeasleyNC,"['Wife, mom, @AKASorority1908. First African-American woman to serve as Chief Justice of the NC Supreme Court. Candidate for US Senate.']",504,64689
